Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
What is the best helmet?\n\n	Baby dont hurt me	Editorial		[]	false	[]	1
best helmet?	Baby dont hurt me	Editorial		[]	false	[]	1
beginner helmet	Baby dont hurt me	Editorial		[]	false	[]	1
what is the best beginner helmet?\n\n	Baby dont hurt me	Editorial		[]	false	[]	1
best starting helmet?	Baby dont hurt me	Editorial		[]	false	[]	1
What is the best jacket?	Motorcycle Jacket	Editorial		[]	false	[]	2
jacket?	Motorcycle Jacket	Editorial		[]	false	[]	2
the best jacket?\n\n	Motorcycle Jacket	Editorial		[]	false	[]	2
beginner jacket?	Motorcycle Jacket	Editorial		[]	false	[]	2
beginner motorcycle jacket?	Motorcycle Jacket	Editorial		[]	false	[]	2
motorcycle jacket?	Motorcycle Jacket	Editorial		[]	false	[]	2
What is the best beginner motorcycle jacket?\n\n\n\n	Motorcycle Jacket	Editorial		[]	false	[]	2
